ORDER,FAMILY,SPECIES,W4,W6,W8,Pres. 2017,Pres. Hist.
Orectolobiformes,Hemiscylliidae,Chiloscyllium punctatum,1,,,1,1
Carcharhiniformes,Scyliorhinidae,Atelomycterus fasciatus,,1,,1,1
Carcharhiniformes,Carcharhinidae,Rhizoprionodon acutus,,,,,1
Carcharhiniformes,Hemigaleidae,Hemigaleus australiensis,,,,,1
Rhinopristiformes,Rhinidae,Rhynchobatus australiae,1,1,,1,1
Myliobatiformes,Dasyatidae,Maculabatis astra,1,1,,1,1
Myliobatiformes,Dasyatidae,Neotrygon australiae,1,1,,1,1
Anguilliformes,Muraenidae,Gymnothorax cribroris cf.,1,1,,1,1
Clupeiformes,Clupeidae,Amblygaster sirm,,1,,1,1
Aulopiformes,Synodontidae,Saurida undosquamis,1,1,1,1,1
Aulopiformes,Synodontidae,Synodus indicus,,,,,1
Aulopiformes,Synodontidae,Synodus sageneus,1,1,1,1,1
Aulopiformes,Synodontidae,Trachinocephalus trachinus,,,1,1,1
Ophidiiformes,Carapidae,Onuxodon sp.,1,,,1,
Syngnathiformes,Fistulariidae,Fistularia commersonii,1,,,1,1
Syngnathiformes,Fistulariidae,Fistularia petimba,,,1,1,1
Syngnathiformes,Centriscidae,Centriscus scutatus,,1,,1,1
Syngnathiformes,Syngnathidae,Hippocampus zebra,,1,,1,1
Syngnathiformes,Pegasidae,Eurypegasus draconis,,,1,1,
Scorpaeniformes,Scorpaenidae,Pterois sp.,,1,,1,1
Scorpaeniformes,Synanceiidae,Inimicus sinensis,1,,,1,
Scorpaeniformes,Tetrarogidae,Liocranium pleurostigma,1,1,,1,1
Scorpaeniformes,Tetrarogidae,Richardsonichthys leucogaster,,1,1,1,
Scorpaeniformes,Aploactinidae,Paraploactis kagoshimensis cf.,,1,,1,
Scorpaeniformes,Platycephalidae,Cymbacephalus bosschei,,,,,1
Scorpaeniformes,Platycephalidae,Cymbacephalus nematophthalmus,,1,,1,1
Scorpaeniformes,Platycephalidae,Onigocia grandisquama,,1,,1,
Scorpaeniformes,Platycephalidae,Platycephalus endrachtensis,,,,,1
Scorpaeniformes,Platycephalidae,Platycephalus westraliae,,,1,1,1
Scorpaeniformes,Platycephalidae,Rogadius tuberculatus,,1,,1,1
Perciformes,Serranidae,Cephalopholis boenak,1,1,,1,1
Perciformes,Serranidae,Diploprion bifasciatum,1,,1,1,1
Perciformes,Serranidae,Epinephelus areolatus,,,,,1
Perciformes,Serranidae,Epinephelus multinotatus,,,,,1
Perciformes,Serranidae,Plectropomus maculatus,1,1,,1,1
Perciformes,Pseudochromidae,Congrogadus spinifer,,1,,1,
Perciformes,Pseudochromidae,Pseudochromis quinquedentatus,1,1,1,1,1
Perciformes,Glaucosomatidae,Glaucosoma magnificum,1,,,,1
Perciformes,Priacanthidae,Priacanthus hamrur,1,1,,,1
Perciformes,Priacanthidae,Priacanthus tayenus,,,,,1
Perciformes,Apogonidae,Apogonichthyoides atripes,,,1,1,1
Perciformes,Apogonidae,Apogonichthyoides brevicaudatus,,,,,1
Perciformes,Apogonidae,Jaydia argyrogaster,,1,,1,
Perciformes,Apogonidae,Ostorhinchus cavitensis,1,,,1,1
