period,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,downwards_habitat_image_saved,successful_habitat_forwards,successful_habitat_downwards,observer_habitat_forwards,observer_habitat_downwards,comment,raw_hdd_number,con_hdd_number,maxn_complete_date,maxn_checker,length_complete_date
DM-DC-015,-20.3619082374411,116.988046259433,2023-09-20T07:39:40+08:00,,,Fished,33.4,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-010,-20.3569481663945,116.985750282348,2023-09-20T07:53:40+08:00,,,Fished,34,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-006,-20.3553000002197,116.973198333088,2023-09-20T08:06:13+08:00,,,Fished,34.7,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-004,-20.3493936218128,116.970568940896,2023-09-20T08:21:06+08:00,,,Fished,35,,,,,Yes,,Yes,,Nidhi Menon,,Mistakenly showed cams 084,,,,,
DM-DC-014,-20.3575819742762,116.950326197384,2023-09-20T08:37:43+08:00,,,Fished,35.4,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-008,-20.3433889648324,116.962059633197,2023-09-20T08:55:06+08:00,,,Fished,36.3,,,,,Yes,,Yes,,Nidhi Menon,,Checked all cams and lights,,,,,
DM-DC-012,-20.3409735390651,116.943296756318,2023-09-20T09:10:56+08:00,,,Fished,36.8,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-016,-20.33784370991,116.918343988566,2023-09-20T09:33:33+08:00,,,Fished,37.7,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-009,-20.329363562689,116.932386523156,2023-09-20T09:50:15+08:00,,,Fished,37.2,,,,,Yes,,Yes,,Nidhi Menon,,Cam 25 was off. Resynced,,,,,
DM-DC-005,-20.3252783333323,116.942049999807,2023-09-20T10:04:52+08:00,,,Fished,37.6,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-013,-20.3148944620402,116.902485259,2023-09-20T10:31:55+08:00,,,Fished,40,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-001,-20.3133020311548,116.890070651367,2023-09-20T10:43:45+08:00,,,Fished,41.3,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-002,-20.3046516665488,116.862703696324,2023-09-20T11:08:04+08:00,,,Fished,43.7,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-039,-20.3102266667514,116.919251666991,2023-09-20T11:23:13+08:00,,,Fished,39.3,,,,,Yes,,Yes,,Nidhi Menon,,,,,,,
DM-DC-028,-20.3037199387919,116.924816137288,2023-09-20T11:33:57+08:00,,,Fished,40.3,,,,,Yes,,Yes,,Nidhi Menon,,Resynced. Point of sync before whiteboard shown,,,,,
