"","longitude_dd","latitude_dd","sample_url","opcode","period","sample","date_time","depth_m","status","site","location","annotation_parameters","observer_count","observer_length","observer_habitat_downward","observer_habitat_forward","observer_habitat_backward","observer_habitat_panoramic","successful_count","successful_length","successful_habitat_downward","successful_habitat_forward","successful_habitat_backward","successful_habitat_panoramic","map_marker_colour_rgb","synthesis","campaignid","derived_from_sample"
"1",115.2200283,-33.48167167,"https://dev.globalarchive.org/api/data/SynthesisSample/2106622/?format=feather","GB-BV-001",NA,"GB-BV-001",2024-03-25 23:52:39,34.9,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/370/?format=feather","https://dev.globalarchive.org/api/data/Annotator/371/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"2",115.4291583,-33.40347,"https://dev.globalarchive.org/api/data/SynthesisSample/2106623/?format=feather","GB-BV-002",NA,"GB-BV-002",2024-04-08 03:16:24,26.9,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/273/?format=feather","https://dev.globalarchive.org/api/data/Annotator/371/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"3",115.2877473,-33.4085045,"https://dev.globalarchive.org/api/data/SynthesisSample/2106624/?format=feather","GB-BV-003",NA,"GB-BV-003",2024-03-26 02:50:03,37.4,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/370/?format=feather","https://dev.globalarchive.org/api/data/Annotator/371/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"4",115.2864067,-33.63981,"https://dev.globalarchive.org/api/data/SynthesisSample/2106625/?format=feather","GB-BV-004",NA,"GB-BV-004",2024-04-09 04:53:23,7.6,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/405/?format=feather","https://dev.globalarchive.org/api/data/Annotator/370/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"5",115.1785967,-33.47694167,"https://dev.globalarchive.org/api/data/SynthesisSample/2106626/?format=feather","GB-BV-005",NA,"GB-BV-005",2024-03-27 06:21:00,36.1,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/273/?format=feather","https://dev.globalarchive.org/api/data/Annotator/370/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"6",115.4437633,-33.35468,"https://dev.globalarchive.org/api/data/SynthesisSample/2106627/?format=feather","GB-BV-006",NA,"GB-BV-006",2024-04-08 03:36:54,27.8,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/273/?format=feather","https://dev.globalarchive.org/api/data/Annotator/371/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"7",115.3787917,-33.58914667,"https://dev.globalarchive.org/api/data/SynthesisSample/2106628/?format=feather","GB-BV-007",NA,"GB-BV-007",2024-03-28 06:21:40,12.4,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/405/?format=feather","https://dev.globalarchive.org/api/data/Annotator/371/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"8",115.2549917,-33.394755,"https://dev.globalarchive.org/api/data/SynthesisSample/2106629/?format=feather","GB-BV-008",NA,"GB-BV-008",2024-03-26 03:22:45,39.7,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/370/?format=feather","https://dev.globalarchive.org/api/data/Annotator/371/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"9",115.149135,-33.57436167,"https://dev.globalarchive.org/api/data/SynthesisSample/2106630/?format=feather","GB-BV-009",NA,"GB-BV-009",2024-04-09 01:35:24,23.9,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/405/?format=feather","https://dev.globalarchive.org/api/data/Annotator/115/?format=feather",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
"10",115.4771367,-33.49934667,"https://dev.globalarchive.org/api/data/SynthesisSample/2106631/?format=feather","GB-BV-010",NA,"GB-BV-010",2024-04-03 02:40:47,13.4,"Fished",NA,"Geographe Bay",NA,"https://dev.globalarchive.org/api/data/Annotator/405/?format=feather",NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,"#5c984f","https://dev.globalarchive.org/api/data/Synthesis/47/?format=feather","2024-04_Geographe_stereo-BRUVs",NA
