"","family","genus","species","scientific_name"
"1","Apogonidae","Ostorhinchus","rueppellii","Apogonidae Ostorhinchus rueppellii"
"2","Apogonidae","Ostorhinchus","spp","Apogonidae Ostorhinchus spp"
"3","Apogonidae","Ostorhinchus","victoriae","Apogonidae Ostorhinchus victoriae"
"4","Apogonidae","Siphamia","cephalotes","Apogonidae Siphamia cephalotes"
"5","Apogonidae","Unknown","spp","Apogonidae Unknown spp"
"6","Aracanidae","Anoplocapros","amygdaloides","Aracanidae Anoplocapros amygdaloides"
"7","Aracanidae","Anoplocapros","lenticularis","Aracanidae Anoplocapros lenticularis"
"8","Aracanidae","Aracana","aurita","Aracanidae Aracana aurita"
"9","Aracanidae","Aracana","ornata","Aracanidae Aracana ornata"
"10","Aracanidae","Caprichthys","gymnura","Aracanidae Caprichthys gymnura"
"11","Aracanidae","Unknown","spp","Aracanidae Unknown spp"
"12","Arripidae","Arripis","georgianus","Arripidae Arripis georgianus"
"13","Arripidae","Arripis","truttaceus","Arripidae Arripis truttaceus"
"14","Aulopidae","Latropiscis","purpurissatus","Aulopidae Latropiscis purpurissatus"
"15","Berycidae","Centroberyx","lineatus","Berycidae Centroberyx lineatus"
"16","Caesioscorpididae","Caesioscorpis","theagenes","Caesioscorpididae Caesioscorpis theagenes"
"17","Carangidae","Decapterus","muroadsi","Carangidae Decapterus muroadsi"
"18","Carangidae","Pseudocaranx","spp","Carangidae Pseudocaranx spp"
"19","Carangidae","Seriola","dumerili","Carangidae Seriola dumerili"
"20","Carangidae","Seriola","hippos","Carangidae Seriola hippos"
"21","Carangidae","Seriola","lalandi","Carangidae Seriola lalandi"
"22","Carangidae","Trachurus","novaezelandiae","Carangidae Trachurus novaezelandiae"
"23","Carangidae","Trachurus","spp","Carangidae Trachurus spp"
"24","Carangidae","Unknown","spp","Carangidae Unknown spp"
"25","Carcharhinidae","Carcharhinus","brachyurus","Carcharhinidae Carcharhinus brachyurus"
"26","Carcharhinidae","Carcharhinus","brevipinna","Carcharhinidae Carcharhinus brevipinna"
"27","Carcharhinidae","Carcharhinus","limbatus","Carcharhinidae Carcharhinus limbatus"
"28","Carcharhinidae","Carcharhinus","obscurus","Carcharhinidae Carcharhinus obscurus"
"29","Carcharhinidae","Carcharhinus","spp","Carcharhinidae Carcharhinus spp"
"30","Carcharhinidae","Galeocerdo","cuvier","Carcharhinidae Galeocerdo cuvier"
"31","Chaetodontidae","Chaetodon","assarius","Chaetodontidae Chaetodon assarius"
"32","Chaetodontidae","Chelmonops","curiosus","Chaetodontidae Chelmonops curiosus"
"33","Cheilodactylidae","Cheilodactylus","gibbosus","Cheilodactylidae Cheilodactylus gibbosus"
"34","Cheilodactylidae","Dactylophora","nigricans","Cheilodactylidae Dactylophora nigricans"
"35","Cheilodactylidae","Nemadactylus","valenciennesi","Cheilodactylidae Nemadactylus valenciennesi"
"36","Dasyatidae","Bathytoshia","brevicaudata","Dasyatidae Bathytoshia brevicaudata"
"37","Dasyatidae","Bathytoshia","lata","Dasyatidae Bathytoshia lata"
"38","Delphinidae","Unknown","spp","Delphinidae Unknown spp"
"39","Dinolestidae","Dinolestes","lewini","Dinolestidae Dinolestes lewini"
"40","Diodontidae","Diodon","nicthemerus","Diodontidae Diodon nicthemerus"
"41","Echeneidae","Remora","brachyptera","Echeneidae Remora brachyptera"
"42","Enoplosidae","Enoplosus","armatus","Enoplosidae Enoplosus armatus"
"43","Gerreidae","Parequula","melbournensis","Gerreidae Parequula melbournensis"
"44","Girellidae","Girella","zebra","Girellidae Girella zebra"
"45","Glaucosomatidae","Glaucosoma","hebraicum","Glaucosomatidae Glaucosoma hebraicum"
"46","Gonorynchidae","Gonorynchus","greyi","Gonorynchidae Gonorynchus greyi"
"47","Haemulidae","Plectorhinchus","flavomaculatus","Haemulidae Plectorhinchus flavomaculatus"
"48","Hemiramphidae","Unknown","spp","Hemiramphidae Unknown spp"
"49","Heterodontidae","Heterodontus","portusjacksoni","Heterodontidae Heterodontus portusjacksoni"
"50","Kyphosidae","Kyphosus","spp","Kyphosidae Kyphosus spp"
"51","Kyphosidae","Kyphosus","sydneyanus","Kyphosidae Kyphosus sydneyanus"
"52","Labridae","Achoerodus","gouldii","Labridae Achoerodus gouldii"
"53","Labridae","Anampses","geographicus","Labridae Anampses geographicus"
"54","Labridae","Austrolabrus","maculatus","Labridae Austrolabrus maculatus"
"55","Labridae","Bodianus","frenchii","Labridae Bodianus frenchii"
"56","Labridae","Choerodon","rubescens","Labridae Choerodon rubescens"
"57","Labridae","Coris","auricularis","Labridae Coris auricularis"
"58","Labridae","Dotalabrus","aurantiacus","Labridae Dotalabrus aurantiacus"
"59","Labridae","Eupetrichthys","angustipes","Labridae Eupetrichthys angustipes"
"60","Labridae","Haletta","semifasciata","Labridae Haletta semifasciata"
"61","Labridae","Halichoeres","brownfieldi","Labridae Halichoeres brownfieldi"
"62","Labridae","Heteroscarus","acroptilus","Labridae Heteroscarus acroptilus"
"63","Labridae","Notolabrus","parilus","Labridae Notolabrus parilus"
"64","Labridae","Notolabrus","spp","Labridae Notolabrus spp"
"65","Labridae","Olisthops","cyanomelas","Labridae Olisthops cyanomelas"
"66","Labridae","Ophthalmolepis","lineolatus","Labridae Ophthalmolepis lineolatus"
"67","Labridae","Pictilabrus","laticlavius","Labridae Pictilabrus laticlavius"
"68","Labridae","Pictilabrus","spp","Labridae Pictilabrus spp"
"69","Labridae","Pictilabrus","viridis","Labridae Pictilabrus viridis"
"70","Labridae","Pseudolabrus","biserialis","Labridae Pseudolabrus biserialis"
"71","Labridae","Siphonognathus","attenuatus","Labridae Siphonognathus attenuatus"
"72","Labridae","Siphonognathus","beddomei","Labridae Siphonognathus beddomei"
"73","Labridae","Siphonognathus","caninis","Labridae Siphonognathus caninis"
"74","Labridae","Siphonognathus","radiatus","Labridae Siphonognathus radiatus"
"75","Labridae","Siphonognathus","spp","Labridae Siphonognathus spp"
"76","Labridae","Suezichthys","cyanolaemus","Labridae Suezichthys cyanolaemus"
"77","Labridae","Unknown","spp","Labridae Unknown spp"
"78","Lamnidae","Isurus","oxyrinchus","Lamnidae Isurus oxyrinchus"
"79","Loliginidae","Sepioteuthis","australis","Loliginidae Sepioteuthis australis"
"80","Microcanthidae","Neatypus","obliquus","Microcanthidae Neatypus obliquus"
"81","Microcanthidae","Tilodon","sexfasciatus","Microcanthidae Tilodon sexfasciatus"
"82","Monacanthidae","Acanthaluteres","brownii","Monacanthidae Acanthaluteres brownii"
"83","Monacanthidae","Acanthaluteres","spp","Monacanthidae Acanthaluteres spp"
"84","Monacanthidae","Acanthaluteres","vittiger","Monacanthidae Acanthaluteres vittiger"
"85","Monacanthidae","Brachaluteres","jacksonianus","Monacanthidae Brachaluteres jacksonianus"
"86","Monacanthidae","Chaetodermis","penicilligerus","Monacanthidae Chaetodermis penicilligerus"
"87","Monacanthidae","Eubalichthys","cyanoura","Monacanthidae Eubalichthys cyanoura"
"88","Monacanthidae","Eubalichthys","mosaicus","Monacanthidae Eubalichthys mosaicus"
"89","Monacanthidae","Meuschenia","australis","Monacanthidae Meuschenia australis"
"90","Monacanthidae","Meuschenia","flavolineata","Monacanthidae Meuschenia flavolineata"
"91","Monacanthidae","Meuschenia","freycineti","Monacanthidae Meuschenia freycineti"
"92","Monacanthidae","Meuschenia","galii","Monacanthidae Meuschenia galii"
"93","Monacanthidae","Meuschenia","hippocrepis","Monacanthidae Meuschenia hippocrepis"
"94","Monacanthidae","Meuschenia","scabra","Monacanthidae Meuschenia scabra"
"95","Monacanthidae","Meuschenia","spp","Monacanthidae Meuschenia spp"
"96","Monacanthidae","Meuschenia","venusta","Monacanthidae Meuschenia venusta"
"97","Monacanthidae","Nelusetta","ayraud","Monacanthidae Nelusetta ayraud"
"98","Monacanthidae","Scobinichthys","granulatus","Monacanthidae Scobinichthys granulatus"
"99","Monacanthidae","Unknown","spp","Monacanthidae Unknown spp"
"100","Mullidae","Parupeneus","chrysopleuron","Mullidae Parupeneus chrysopleuron"
"101","Mullidae","Parupeneus","spilurus","Mullidae Parupeneus spilurus"
"102","Mullidae","Upeneichthys","spp","Mullidae Upeneichthys spp"
"103","Mullidae","Upeneichthys","stotti","Mullidae Upeneichthys stotti"
