metric,survey.group,benchmark.to.compare.with,network,location,year,Mean,Lower.ci,Upper.ci
Awarenes of an AMP in area,boat.ramp.recfishing,yes,AMP,capes,2020,12,6.6,20.4
Awarenes of an AMP in area,boat.ramp.recfishing,yes,AMP,capes,2023,36.1,24.4,49.4
Correctly name an AMP,boat.ramp.recfishing,yes,AMP,capes,2020,0,0,30.1
Correctly name an AMP,boat.ramp.recfishing,yes,AMP,capes,2023,4.8,0.2,25.9
Supportive of AMP NPZ,boat.ramp.recfishing,yes,AMP,capes,2020,70,59.9,78.54
Supportive of AMP NPZ,boat.ramp.recfishing,yes,AMP,capes,2023,76.7,63.7,86.2
AMP NPZ benefit environment,boat.ramp.recfishing,yes,AMP,capes,2020,85,76.1,91.1
AMP NPZ benefit environment,boat.ramp.recfishing,yes,AMP,capes,2023,85.2,73.3,92.6
AMP NPZ negatively effect my fishing,boat.ramp.recfishing,yes,AMP,capes,2020,4.1,1.3,10.7
AMP NPZ negatively effect my fishing,boat.ramp.recfishing,yes,AMP,capes,2023,11.9,5.3,23.5
Awarenes of AMPs nationally amongst South-west network residents,public,no,AMP,national,2020,37.4,34,40.9
