FID,installation_type,receiver_name,deployment_date,recovery_date,receiver_status,active,geom,imos_b
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH01,ARRAY,VR2W-138295,2026-06-27T02:55:00Z,,,Active,POINT (138.45 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH02,ARRAY,VR2W-138291,2026-06-11T03:55:00Z,,,Active,POINT (138.45 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH03,ARRAY,VR2W-101744,2024-05-08T01:55:00Z,2025-06-04T02:20:00Z,RECOVERED,Inactive,POINT (138.46 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH04,ARRAY,VR2W-101799,2024-05-08T04:50:00Z,2025-06-04T01:30:00Z,RECOVERED,Inactive,POINT (138.45 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH05,ARRAY,VR2W-101740,2024-05-08T00:50:00Z,2025-06-11T00:35:00Z,RECOVERED,Inactive,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH06,ARRAY,VR2W-109105,2024-05-08T02:30:00Z,2025-06-04T02:30:00Z,LOST,Inactive,POINT (138.46 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH07,ARRAY,VR2W-124457,2024-03-27T23:20:00Z,2025-06-04T02:59:00Z,RECOVERED,Inactive,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH08,ARRAY,VR2W-114579,2024-05-08T03:30:00Z,2025-06-11T01:20:00Z,RECOVERED,Inactive,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH09,ARRAY,VR2Tx-482873,2024-05-21T23:10:00Z,2025-06-11T02:30:00Z,RECOVERED,Inactive,POINT (138.45 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH10,ARRAY,VR2W-101780,2024-05-08T02:15:00Z,2025-06-27T05:20:00Z,RECOVERED,Inactive,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH11,ARRAY,VR2W-115340,2026-06-11T02:05:00Z,,,Active,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH12,ARRAY,VR2Tx-483950,2026-06-07T02:00:00Z,,,Active,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH13,ARRAY,VR2W-101740,2026-06-27T04:25:00Z,,,Active,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH14,ARRAY,VR2W-101338,2026-06-27T01:00:00Z,,,Active,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH15,ARRAY,VR2AR-552618,2026-06-11T00:26:00Z,,,Active,POINT (138.44 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH16,ARRAY,VR2AR-551359,2026-06-11T00:55:00Z,,,Active,POINT (138.44 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.PN01,ARRAY,VR2Tx-483942,2026-06-27T03:30:00Z,,,Active,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Glenelg receivers.GL01,SINGLE,VR2W-103306,2026-06-23T03:05:00Z,,,Active,POINT (138.49 -34.97),false
acoustic_installation_summary_map.Adelaide metro monitoring.Glenelg receivers.GL02,SINGLE,VR2W-109626,2026-06-23T02:15:00Z,,,Active,POINT (138.49 -34.97),false
acoustic_installation_summary_map.Adelaide metro monitoring.Grange Receiver.GR01,SINGLE,VR2W-114579,2026-07-06T06:25:00Z,,,Active,POINT (138.48 -34.9),false
acoustic_installation_summary_map.Adelaide metro monitoring.Hallett Cove.HA01,ARRAY,VR2W-101686,2026-06-22T04:35:00Z,,,Active,POINT (138.49 -35.07),false
acoustic_installation_summary_map.Adelaide metro monitoring.Hallett Cove.HA02,ARRAY,VR2W-101799,2026-06-22T02:42:00Z,,,Active,POINT (138.48 -35.08),false
acoustic_installation_summary_map.Adelaide metro monitoring.Henley Beach Receivers.HB01,ARRAY,VR2W-138287,2022-07-08T23:17:00Z,2024-05-22T05:00:00Z,LOST,Inactive,POINT (138.49 -34.93),false
acoustic_installation_summary_map.Adelaide metro monitoring.Henley Beach Receivers.HB02,ARRAY,VR2W-101681,2026-06-23T04:15:00Z,,,Active,POINT (138.49 -34.93),false
acoustic_installation_summary_map.Adelaide metro monitoring.Henley Beach Receivers.HB03,ARRAY,VR2W-101764,2026-06-23T05:00:00Z,,,Active,POINT (138.48 -34.91),false
acoustic_installation_summary_map.Adelaide metro monitoring.Largs Bay Receiver.LB01,SINGLE,VR2W-124457,2026-07-06T04:03:00Z,,,Active,POINT (138.48 -34.82),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS01,ARRAY,VR2W-109624,2024-05-15T03:18:00Z,2025-06-13T00:35:00Z,RECOVERED,Inactive,POINT (138.21 -34.56),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS02,ARRAY,VR2W-106895,2024-05-15T03:34:00Z,2025-06-13T01:00:00Z,RECOVERED,Inactive,POINT (138.21 -34.56),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS03,ARRAY,VR2W-113122,2024-05-15T03:44:00Z,2025-06-13T01:24:00Z,RECOVERED,Inactive,POINT (138.22 -34.56),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS04,ARRAY,VR2W-109628,2024-05-15T03:08:00Z,2025-06-13T02:35:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS05,ARRAY,VR2W-101673,2024-05-15T02:56:00Z,2025-06-13T02:08:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS06,ARRAY,VR2W-113114,2024-05-15T02:38:00Z,2025-06-13T01:50:00Z,RECOVERED,Inactive,POINT (138.22 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS07,ARRAY,VR2W-103308,2024-05-15T01:41:00Z,2025-06-13T03:05:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS08,ARRAY,VR2W-110641,2024-05-15T01:51:00Z,2025-06-13T03:26:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS09,ARRAY,VR2W-114559,2024-05-15T02:06:00Z,2025-06-13T03:47:00Z,RECOVERED,Inactive,POINT (138.22 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS10,ARRAY,VR2W-109627,2024-05-15T01:26:00Z,2025-06-13T04:48:00Z,RECOVERED,Inactive,POINT (138.21 -34.58),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS11,ARRAY,VR2W-115335,2024-05-15T01:16:00Z,2025-06-13T04:26:00Z,RECOVERED,Inactive,POINT (138.21 -34.58),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS12,ARRAY,VR2W-101117,2024-05-15T01:01:00Z,2025-06-13T04:07:00Z,RECOVERED,Inactive,POINT (138.22 -34.58),false
acoustic_installation_summary_map.Adelaide metro monitoring.Lonsdale area.DE01,ARRAY,VR2W-138284,2026-06-22T02:00:00Z,,,Active,POINT (138.46 -35.09),false
acoustic_installation_summary_map.Adelaide metro monitoring.Lonsdale area.PS01,ARRAY,VR2W-138292,2026-06-27T02:35:00Z,,,Active,POINT (138.46 -35.1),false
acoustic_installation_summary_map.Adelaide metro monitoring.Marino.MA01,ARRAY,VR2W-101798,2026-06-22T05:48:00Z,,,Active,POINT (138.5 -35.04),false
acoustic_installation_summary_map.Adelaide metro monitoring.Marino.MA02,ARRAY,VR2W-138294,2026-06-27T02:05:00Z,,,Active,POINT (138.49 -35.05),false
acoustic_installation_summary_map.Adelaide metro monitoring.Marino.MA03,ARRAY,VR2W-135192,2026-06-27T01:45:00Z,,,Active,POINT (138.49 -35.06),false
acoustic_installation_summary_map.Adelaide metro monitoring.Onkaparinga.ONK01,SINGLE,VR2W-114688,2025-09-27T04:00:00Z,,,Active,POINT (138.47 -35.15),false
acoustic_installation_summary_map.Adelaide metro monitoring.Onkaparinga.ONK02,SINGLE,VR2AR-545665,2026-06-11T07:10:00Z,,,Active,POINT (138.45 -35.16),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.BR01,ARRAY,VR2Tx-491805,2026-06-22T07:20:00Z,,,Active,POINT (138.51 -35.01),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE01,ARRAY,VR2W-101685,2024-03-08T03:15:00Z,2025-05-02T00:25:00Z,RECOVERED,Inactive,POINT (138.5 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE02,ARRAY,VR2W-103306,2024-03-08T00:00:00Z,2025-05-02T02:50:00Z,RECOVERED,Inactive,POINT (138.5 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE03,ARRAY,VR2W-101672,2024-03-08T02:40:00Z,2025-05-02T00:50:00Z,RECOVERED,Inactive,POINT (138.51 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE04,ARRAY,VR2Tx-483968,2026-06-22T06:25:00Z,,,Active,POINT (138.5 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE05,ARRAY,VR2W-138285,2024-03-08T01:15:00Z,2025-05-02T01:17:00Z,RECOVERED,Inactive,POINT (138.51 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE06,ARRAY,VR2W-109626,2024-03-08T00:45:00Z,2025-05-02T01:50:00Z,RECOVERED,Inactive,POINT (138.5 -35.02),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE07,ARRAY,VR2W-101760,2024-07-04T01:37:00Z,2025-05-05T01:40:00Z,RECOVERED,Inactive,POINT (138.51 -35.02),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE08,ARRAY,VR2Tx-483943,2026-06-22T00:30:00Z,,,Active,POINT (138.51 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE09,ARRAY,VR2W-101747,2026-06-22T06:45:00Z,,,Active,POINT (138.5 -35.02),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SeacliffReef,ARRAY,VR2W-101672,2026-06-22T04:00:00Z,,,Active,POINT (138.49 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Semaphore Receivers.SEM01,ARRAY,VR2W-137880,2026-07-06T05:35:00Z,,,Active,POINT (138.47 -34.85),false
acoustic_installation_summary_map.Adelaide metro monitoring.Semaphore Receivers.SEM02,ARRAY,VR2W-101754,2026-07-06T04:57:00Z,,,Active,POINT (138.47 -34.84),false
acoustic_installation_summary_map.Adelaide metro monitoring.Semaphore Receivers.SEM03,ARRAY,VR2W-113946,2026-07-06T04:30:00Z,,,Active,POINT (138.47 -34.83),false
