fid,receiver_name,installation_type,receiver_status,active,deployment_date,recovery_date,longitude,latitude,park_name,park_type,authority,gaz_date,epbc
acoustic_installation_summary_map.WA DPIRD FADs.Abrolhos.FAD32,VR2W-119426,ARRAY,RECOVERED,Inactive,2025-11-11T01:00:00Z,2026-02-18T06:00:00Z,113.7,-28.87,Abrolhos,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.WA DPIRD FADs.Abrolhos.FAD30,VR2W-131464,ARRAY,NA,Active,2025-11-11T01:00:00Z,NA,113.78,-28.98,Abrolhos,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.WA DPIRD FADs.Abrolhos.FAD31,VR2W-134665,ARRAY,NA,Active,2025-11-11T01:00:00Z,NA,113.66,-28.82,Abrolhos,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Stingray Diaries Acoustic tracking of short-tail stingrays.Jervis Bay (rays).Murrays Boat Ramp,VR2W-100873,ARRAY,RECOVERED,Inactive,2019-08-19T22:55:00Z,2020-08-07T02:00:00Z,150.75,-35.12,Booderee,National Park (Commonwealth),DCCEEW,1992-01-01T00:00:00Z,Commonwealth
acoustic_installation_summary_map.NSW DPI Jervis Bay.NSW DPI Jervis Bay array.JB19,VR2W-100992,ARRAY,NA,Active,2025-10-16T23:46:00Z,NA,150.76,-35.12,Booderee,National Park (Commonwealth),DCCEEW,1992-01-01T00:00:00Z,Commonwealth
acoustic_installation_summary_map.NSW DPI Jervis Bay.NSW DPI Jervis Bay array.JB18,VR2W-122033,ARRAY,NA,Active,2025-10-16T23:07:00Z,NA,150.75,-35.12,Booderee,National Park (Commonwealth),DCCEEW,1992-01-01T00:00:00Z,Commonwealth
acoustic_installation_summary_map.NSW DPI Jervis Bay.NSW DPI Jervis Bay array.JB17,VR2W-123879,ARRAY,NA,Active,2025-10-16T22:47:00Z,NA,150.74,-35.13,Booderee,National Park (Commonwealth),DCCEEW,1992-01-01T00:00:00Z,Commonwealth
acoustic_installation_summary_map.NSW DPI Jervis Bay.NSW DPI Jervis Bay array.JB16,VR2W-130819,ARRAY,NA,Active,2025-10-16T22:14:00Z,NA,150.72,-35.13,Booderee,National Park (Commonwealth),DCCEEW,1992-01-01T00:00:00Z,Commonwealth
acoustic_installation_summary_map.NSW DPI Jervis Bay.NSW DPI Jervis Bay array.JB21,VR2W-130820,ARRAY,NA,Active,2025-10-17T00:54:00Z,NA,150.74,-35.13,Booderee,National Park (Commonwealth),DCCEEW,1992-01-01T00:00:00Z,Commonwealth
acoustic_installation_summary_map.NSW DPI - SEACAMS.Cod Grounds.Cod Grounds,VR2W-107523,ARRAY,RECOVERED,Inactive,2015-09-15T14:00:00Z,2016-09-06T13:59:00Z,152.9,-31.68,Cod Grounds,Australian Marine Park,DCCEEW,2007-05-28T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-F1,NexTrak-R1-800549,ARRAY,NA,Active,2025-02-14T00:00:00Z,NA,148.46,-17.86,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-H5,NexTrak-R1-800552,ARRAY,NA,Active,2025-03-19T00:00:00Z,NA,147.84,-16.51,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-H2,NexTrak-R1-800553,ARRAY,NA,Active,2025-02-23T00:00:00Z,NA,147.83,-16.51,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-B1,VR2Tx-485134,ARRAY,NA,Active,2025-10-19T00:45:00Z,NA,147.09,-15.48,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-B2,VR2Tx-485241,ARRAY,NA,Active,2025-10-24T00:30:00Z,NA,147.08,-15.49,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-O1,VR2Tx-491825,ARRAY,NA,Inactive,2024-11-02T00:40:00Z,NA,146.54,-13.8,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Coral Sea  Nautilus tracking project.Osprey Reef.Entrance wall,VR2W-101335,ARRAY,RECOVERED,Inactive,2008-03-30T21:30:00Z,2008-08-30T21:00:00Z,146.55,-13.88,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Coral Sea  Nautilus tracking project.Osprey Reef.Admiralty Osprey,VR2W-101336,ARRAY,RECOVERED,Inactive,2007-12-18T22:30:00Z,2008-05-25T22:20:00Z,146.55,-13.88,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Coral Sea  Nautilus tracking project.Osprey Reef.North Entrance point,VR2W-101336,ARRAY,RECOVERED,Inactive,2008-05-25T22:30:00Z,2010-01-20T00:23:00Z,146.55,-13.9,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Coral Sea  Nautilus tracking project.Osprey Reef.Coral Castles,VR2W-101337,ARRAY,RECOVERED,Inactive,2008-05-23T00:30:00Z,2009-02-03T20:53:39Z,146.56,-13.84,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Coral Sea  Nautilus tracking project.Osprey Reef.Raging Horn,VR2W-101338,ARRAY,RECOVERED,Inactive,2008-03-30T23:00:00Z,2009-03-30T23:00:00Z,146.55,-13.89,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.BC-06,VR2W-101859,ARRAY,RECOVERED,Inactive,2021-10-30T00:00:00Z,2022-10-30T00:00:00Z,146.55,-13.81,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-O7,VR2W-102561,ARRAY,NA,Active,2025-10-19T06:30:00Z,NA,146.56,-13.9,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.BC-07,VR2W-105864,ARRAY,RECOVERED,Inactive,2021-10-28T00:00:00Z,2022-10-31T00:00:00Z,146.55,-13.86,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.BC-05,VR2W-106906,ARRAY,RECOVERED,Inactive,2021-10-29T00:00:00Z,2022-10-30T00:00:00Z,146.55,-13.89,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.CS-F2,VR2W-107810,ARRAY,LOST,Inactive,2023-04-08T15:16:00Z,2025-02-14T00:00:00Z,148.45,-17.84,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS / AIMS Acoustic Telemetry Array Queensland.Coral Sea Receivers.BC-02,VR2W-114297,ARRAY,RECOVERED,Inactive,2021-10-28T00:00:00Z,2022-10-31T00:00:00Z,146.55,-13.87,Coral Sea,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
