,modname,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,reef,geoscience_depth,geoscience_aspect,geoscience_roughness,geoscience_detrended,status,cumsum.wi
total_abundance.reef+status,reef+status,1079.929497,1091.840315,0.31287,NA,3.71,0,0,2.485,0.147,0.087,1,0,0,0,0,1,0.147
total_abundance.geoscience_aspect+reef+status,geoscience_aspect+reef+status,1079.929497,1091.840315,0.31287,NA,4.71,1,0,2.485,0.147,0.087,1,0,1,0,0,1,0.294
total_abundance.reef,reef,1080.034071,1089.355384,0.29667,NA,2.65,0,0.105,0,0.139,0.301,1,0,0,0,0,0,0.433
total_abundance.geoscience_aspect+reef,geoscience_aspect+reef,1080.034071,1089.355384,0.29667,NA,3.65,1,0.105,0,0.139,0.301,1,0,1,0,0,0,0.572
total_abundance.geoscience_detrended+reef,geoscience_detrended+reef,1081.353241,1092.957524,0.3015,NA,3.59,0,1.424,3.602,0.072,0.05,1,0,0,0,1,0,0.644
total_abundance.geoscience_aspect+geoscience_detrended+reef,geoscience_aspect+geoscience_detrended+reef,1081.353241,1092.957524,0.3015,NA,4.59,1,1.424,3.602,0.072,0.05,1,0,1,0,1,0,0.716
total_abundance.geoscience_roughness+reef,geoscience_roughness+reef,1081.733134,1093.104786,0.29751,NA,3.49,0,1.804,3.749,0.06,0.046,1,0,0,1,0,0,0.776
total_abundance.geoscience_aspect+geoscience_roughness+reef,geoscience_aspect+geoscience_roughness+reef,1081.733134,1093.104786,0.29751,NA,4.49,1,1.804,3.749,0.06,0.046,1,0,1,1,0,0,0.836
total_abundance.geoscience_detrended+reef+status,geoscience_detrended+reef+status,1081.908567,1096.123724,0.31397,NA,4.67,0,1.979,6.768,0.055,0.01,1,0,0,0,1,1,0.891
total_abundance.geoscience_aspect+geoscience_detrended+reef+status,geoscience_aspect+geoscience_detrended+reef+status,1081.908567,1096.123724,0.31397,NA,5.67,1,1.979,6.768,0.055,0.01,1,0,1,0,1,1,0.946
species_richness.geoscience_aspect+geoscience_detrended+reef,geoscience_aspect+geoscience_detrended+reef,644.2010447,654.3745679,0.32922,NA,4,1,0,0,0.144,0.181,1,0,1,0,1,0,0.144
species_richness.geoscience_detrended+reef,geoscience_detrended+reef,644.2010447,654.3745679,0.32922,NA,3,0,0,0,0.144,0.181,1,0,0,0,1,0,0.288
species_richness.geoscience_detrended+geoscience_roughness+reef,geoscience_detrended+geoscience_roughness+reef,644.2166374,657.0756539,0.34467,NA,4.1,0,0.016,2.701,0.143,0.047,1,0,0,1,1,0,0.431
species_richness.geoscience_aspect+geoscience_detrended+geoscience_roughness+reef,geoscience_aspect+geoscience_detrended+geoscience_roughness+reef,644.2166374,657.0756539,0.34467,NA,5.1,1,0.016,2.701,0.143,0.047,1,0,1,1,1,0,0.574
species_richness.geoscience_detrended+reef+status,geoscience_detrended+reef+status,644.7833438,657.3930534,0.33962,NA,4,0,0.582,3.018,0.108,0.04,1,0,0,0,1,1,0.682
species_richness.geoscience_aspect+geoscience_detrended+reef+status,geoscience_aspect+geoscience_detrended+reef+status,644.7833438,657.3930534,0.33962,NA,5,1,0.582,3.018,0.108,0.04,1,0,1,0,1,1,0.79
species_richness.reef+status,reef+status,646.0448452,656.2183684,0.31722,NA,3,0,1.844,1.844,0.057,0.072,1,0,0,0,0,1,0.847
species_richness.geoscience_aspect+reef+status,geoscience_aspect+reef+status,646.0448452,656.2183684,0.31722,NA,4,1,1.844,1.844,0.057,0.072,1,0,1,0,0,1,0.904
cti.geoscience_depth,geoscience_depth,346.8358463,356.0772009,0.06447,NA,2.79,0,0,2.029,0.109,0.081,0,1,0,0,0,0,0.109
cti.geoscience_aspect+geoscience_depth,geoscience_aspect+geoscience_depth,346.8358468,356.0772092,0.06447,NA,3.79,1,0,2.029,0.109,0.081,0,1,1,0,0,0,0.218
cti.geoscience_aspect+geoscience_roughness,geoscience_aspect+geoscience_roughness,347.2093501,356.5919296,0.06237,NA,3.44,0,0.374,2.543,0.091,0.063,0,0,1,1,0,0,0.309
cti.geoscience_roughness,geoscience_roughness,347.2435627,355.6115855,0.05128,NA,2.42,0,0.408,1.563,0.089,0.102,0,0,0,1,0,0,0.398
cti.geoscience_aspect+geoscience_roughness+reef,geoscience_aspect+geoscience_roughness+reef,347.7214462,362.2699391,0.11029,NA,5.45,0,0.886,8.221,0.07,0.004,1,0,1,1,0,0,0.468
cti.geoscience_aspect+geoscience_detrended+geoscience_roughness,geoscience_aspect+geoscience_detrended+geoscience_roughness,347.7288516,360.8325857,0.09444,NA,4.53,0,0.893,6.784,0.07,0.008,0,0,1,1,1,0,0.538
cti.geoscience_roughness+reef,geoscience_roughness+reef,347.9012909,360.863999,0.09038,NA,4.41,0,1.065,6.816,0.064,0.007,1,0,0,1,0,0,0.602
cti.geoscience_detrended+geoscience_roughness,geoscience_detrended+geoscience_roughness,348.1949268,359.1293224,0.06608,NA,3.52,0,1.359,5.081,0.055,0.018,0,0,0,1,1,0,0.657
cti.geoscience_aspect+geoscience_detrended+geoscience_roughness+reef,geoscience_aspect+geoscience_detrended+geoscience_roughness+reef,348.5440473,365.9555853,0.13193,NA,6.42,0,1.708,11.907,0.046,0.001,1,0,1,1,1,0,0.703
