"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","geoscience_depth","geoscience_aspect","geoscience_roughness","geoscience_detrended","status","year","cumsum.wi"
"total_abundance.geoscience_roughness+reef+status+year","geoscience_roughness+reef+status+year",6513.26399313753,6542.00130781141,0.16279,NA,5.74,0,0,4.166,0.194,0.053,1,0,0,1,0,1,1,0.194
"total_abundance.geoscience_aspect+geoscience_roughness+reef+status+year","geoscience_aspect+geoscience_roughness+reef+status+year",6513.26399313758,6542.00130781113,0.16279,NA,6.74,1,0,4.166,0.194,0.053,1,0,1,1,0,1,1,0.388
"total_abundance.reef+status+year","reef+status+year",6513.33780788202,6537.83513124572,0.15949,NA,4.74,0,0.074,0,0.187,0.428,1,0,0,0,0,1,1,0.575
"total_abundance.geoscience_aspect+reef+status+year","geoscience_aspect+reef+status+year",6513.33780790494,6537.83513448946,0.15949,NA,5.74,1,0.074,0,0.187,0.428,1,0,1,0,0,1,1,0.762
"total_abundance.geoscience_detrended+geoscience_roughness+reef+status+year","geoscience_detrended+geoscience_roughness+reef+status+year",6514.89260556923,6549.48707162081,0.16468,NA,7.12,0,1.629,11.652,0.086,0.001,1,0,0,1,1,1,1,0.848
"total_abundance.geoscience_detrended+reef+status+year","geoscience_detrended+reef+status+year",6515.11944638159,6544.207577378,0.16017,NA,5.82,0,1.855,6.372,0.077,0.018,1,0,0,0,1,1,1,0.925
"total_abundance.geoscience_aspect+geoscience_detrended+reef+status+year","geoscience_aspect+geoscience_detrended+reef+status+year",6515.11944639207,6544.20757862618,0.16017,NA,6.82,1,1.855,6.372,0.077,0.018,1,0,1,0,1,1,1,1.002
"species_richness.geoscience_aspect+geoscience_detrended+reef+status+year","geoscience_aspect+geoscience_detrended+reef+status+year",3188.42108847007,3223.78456220903,0.3795,NA,7.3,0,0,1.593,0.505,0.178,1,0,1,0,1,1,1,0.505
"species_richness.geoscience_aspect+geoscience_depth+geoscience_detrended+reef+year","geoscience_aspect+geoscience_depth+geoscience_detrended+reef+year",3190.06432440289,3225.33155175482,0.37756,NA,7.57,0,1.643,3.14,0.222,0.082,1,1,1,0,1,0,1,0.727
"cti.geoscience_aspect+geoscience_depth+geoscience_detrended+reef","geoscience_aspect+geoscience_depth+geoscience_detrended+reef",1371.31945491859,1406.28593224448,0.09369,NA,7.35,0,0,4.673,0.281,0.01,1,1,1,0,1,0,0,0.281
"cti.geoscience_aspect+geoscience_depth+geoscience_detrended+reef+year","geoscience_aspect+geoscience_depth+geoscience_detrended+reef+year",1371.40932477557,1409.76780217014,0.09642,NA,8.25,0,0.09,8.155,0.269,0.002,1,1,1,0,1,0,1,0.55
"cti.geoscience_depth+geoscience_detrended+reef+year","geoscience_depth+geoscience_detrended+reef+year",1372.27831315447,1407.11994021505,0.09193,NA,7.24,0,0.959,5.507,0.174,0.006,1,1,0,0,1,0,1,0.724
"cti.geoscience_depth+geoscience_detrended+reef","geoscience_depth+geoscience_detrended+reef",1372.45239115356,1403.67498024768,0.08855,NA,6.38,0,1.133,2.062,0.16,0.036,1,1,0,0,1,0,0,0.884
