"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","geoscience_depth","geoscience_aspect","geoscience_roughness","geoscience_detrended","status","cumsum.wi"
"greater than Lm carnivores.geoscience_aspect+geoscience_roughness+reef","geoscience_aspect+geoscience_roughness+reef",445.695305622548,466.072230686533,0.2096,NA,4.94,1,0,0,0.212,0.41,1,0,1,1,0,0,0.212
"greater than Lm carnivores.geoscience_roughness+reef","geoscience_roughness+reef",445.695396218218,466.072263129215,0.2096,NA,3.94,0,0,0,0.212,0.41,1,0,0,1,0,0,0.424
"greater than Lm carnivores.geoscience_detrended+geoscience_roughness+reef","geoscience_detrended+geoscience_roughness+reef",446.811465773364,470.52273009626,0.21425,NA,4.94,0,1.116,4.45,0.121,0.044,1,0,0,1,1,0,0.545
"greater than Lm carnivores.geoscience_aspect+geoscience_detrended+geoscience_roughness+reef","geoscience_aspect+geoscience_detrended+geoscience_roughness+reef",446.81157025911,470.523127996575,0.21425,NA,5.94,1,1.116,4.451,0.121,0.044,1,0,1,1,1,0,0.666
"greater than Lm carnivores.geoscience_aspect+geoscience_roughness+reef+status","geoscience_aspect+geoscience_roughness+reef+status",447.021055033363,470.733260154715,0.21322,NA,5.94,1,1.326,4.661,0.109,0.04,1,0,1,1,0,1,0.775
"greater than Lm carnivores.geoscience_roughness+reef+status","geoscience_roughness+reef+status",447.021125071361,470.733263670913,0.21322,NA,4.94,0,1.326,4.661,0.109,0.04,1,0,0,1,0,1,0.884
"smaller than Lm carnivores.geoscience_aspect+geoscience_roughness+reef","geoscience_aspect+geoscience_roughness+reef",597.900221199867,617.188519874357,0.05714,NA,4.43,1,0,2.126,0.109,0.059,1,0,1,1,0,0,0.109
"smaller than Lm carnivores.geoscience_roughness+reef","geoscience_roughness+reef",597.900670334874,617.189991949193,0.05714,NA,3.43,0,0,2.128,0.109,0.059,1,0,0,1,0,0,0.218
"smaller than Lm carnivores.geoscience_detrended+geoscience_roughness+reef","geoscience_detrended+geoscience_roughness+reef",598.799258068987,624.23617200673,0.07065,NA,5.02,0,0.899,9.174,0.069,0.002,1,0,0,1,1,0,0.287
"smaller than Lm carnivores.geoscience_aspect+geoscience_detrended+geoscience_roughness+reef","geoscience_aspect+geoscience_detrended+geoscience_roughness+reef",598.800466413761,624.240376932098,0.07066,NA,6.02,1,0.9,9.178,0.069,0.002,1,0,1,1,1,0,0.356
"smaller than Lm carnivores.geoscience_roughness+reef+status","geoscience_roughness+reef+status",598.823206291554,621.530833525543,0.06275,NA,4.45,0,0.923,6.469,0.069,0.007,1,0,0,1,0,1,0.425
"smaller than Lm carnivores.geoscience_aspect+geoscience_roughness+reef+status","geoscience_aspect+geoscience_roughness+reef+status",598.823903986411,621.533056891443,0.06275,NA,5.45,1,0.924,6.471,0.069,0.007,1,0,1,1,0,1,0.494
"smaller than Lm carnivores.geoscience_roughness","geoscience_roughness",599.305153908745,615.747886984573,0.04277,NA,2.58,0,1.405,0.686,0.054,0.121,0,0,0,1,0,0,0.548
"smaller than Lm carnivores.geoscience_aspect+geoscience_roughness","geoscience_aspect+geoscience_roughness",599.306216825344,615.751030483905,0.04278,NA,3.58,1,1.406,0.689,0.054,0.121,0,0,1,1,0,0,0.602
"smaller than Lm carnivores.geoscience_roughness+status","geoscience_roughness+status",599.79972589061,619.621464072455,0.05014,NA,3.59,0,1.9,4.559,0.042,0.017,0,0,0,1,0,1,0.644
"smaller than Lm carnivores.geoscience_aspect+geoscience_roughness+status","geoscience_aspect+geoscience_roughness+status",599.800823978823,619.624747229793,0.05014,NA,4.59,1,1.901,4.562,0.042,0.017,0,0,1,1,0,1,0.686
"smaller than Lm Pink snapper.geoscience_aspect+geoscience_depth+status","geoscience_aspect+geoscience_depth+status",423.491724691767,440.530796850263,0.07049,NA,4,1,0,2.032,0.129,0.091,0,1,1,0,0,1,0.129
"smaller than Lm Pink snapper.geoscience_depth+status","geoscience_depth+status",423.492301247363,440.533239600291,0.06976,NA,3,0,0.001,2.034,0.129,0.091,0,1,0,0,0,1,0.258
"smaller than Lm Pink snapper.geoscience_aspect+geoscience_depth+geoscience_detrended+status","geoscience_aspect+geoscience_depth+geoscience_detrended+status",424.801817468407,447.50438714663,0.08357,NA,5.45,1,1.31,9.006,0.067,0.003,0,1,1,0,1,1,0.325
"smaller than Lm Pink snapper.geoscience_depth+geoscience_detrended+status","geoscience_depth+geoscience_detrended+status",424.807309579183,447.520981737623,0.08462,NA,4.45,0,1.316,9.022,0.067,0.003,0,1,0,0,1,1,0.392
"smaller than Lm Pink snapper.geoscience_depth","geoscience_depth",424.833100219647,438.498809984381,0.05025,NA,2,0,1.341,0,0.066,0.251,0,1,0,0,0,0,0.458
"smaller than Lm Pink snapper.geoscience_aspect+geoscience_depth","geoscience_aspect+geoscience_depth",424.834557943655,438.503402369982,0.05025,NA,3,1,1.343,0.005,0.066,0.251,0,1,1,0,0,0,0.524
